id;charity_name;total_balance;upcoming_events;target_amount;forecast_income
1;matrix New out-of-the-box;15164;Wyoming;1399;20234
2;Granite synergize e-commerce;22587;Rustic;66151;17294
3;mesh generate;4425;Games Auto PCI;19182;24254
4;mint payment;97761;payment;44655;9348
5;protocol back-end Washington;80975;Table e-commerce;47412;52296
6;orchid complexity Belarus;49204;Handmade Card;15358;69024
7;Handmade SSL Mandatory;58529;Games primary interfaces;51278;47136
8;Director;16677;navigating;83781;14266
9;back Paradigm back;61122;EXE Program Crossroad;33395;61141
10;Ball;62058;Intelligent Directives;46514;24593
