id;idea_name;idea_description;number_of_volunteers;location;expected_cost;expected_attendance
1;Ruble;../fake-data/blob/hipster.txt;57368;INPERSON;31035;57374
2;payment Hawaii Fantastic;../fake-data/blob/hipster.txt;71670;REMOTE;20089;68901
3;sensor Officer mobile;../fake-data/blob/hipster.txt;85409;INPERSON;5759;55744
4;Internal payment;../fake-data/blob/hipster.txt;61154;INPERSON;14380;88982
5;redundant Bacon real-time;../fake-data/blob/hipster.txt;66921;INPERSON;93986;78102
6;Applications navigate;../fake-data/blob/hipster.txt;82606;INPERSON;25622;93271
7;Reunion;../fake-data/blob/hipster.txt;48428;REMOTE;94361;35613
8;Mozambique;../fake-data/blob/hipster.txt;29115;REMOTE;35423;8095
9;Developer Metal Accounts;../fake-data/blob/hipster.txt;49394;REMOTE;75782;1755
10;invoice;../fake-data/blob/hipster.txt;5756;REMOTE;42518;42233
